"","season","schl","result","games"
"1",2010,"Akron","L",13
"2",2010,"Akron","W",23
"3",2010,"Ball State","L",13
"4",2010,"Ball State","W",19
"5",2010,"Belmont","L",5
"6",2010,"Belmont","W",30
"7",2010,"Bowling Green State","L",19
"8",2010,"Bowling Green State","W",14
"9",2010,"Bradley","L",20
"10",2010,"Bradley","W",12
"11",2010,"Buffalo","L",14
"12",2010,"Buffalo","W",20
"13",2010,"Butler","L",10
"14",2010,"Butler","W",28
"15",2010,"Central Michigan","L",21
"16",2010,"Central Michigan","W",10
"17",2010,"Chicago State","L",26
"18",2010,"Chicago State","W",6
"19",2010,"Cincinnati","L",9
"20",2010,"Cincinnati","W",26
"21",2010,"Cleveland State","L",9
"22",2010,"Cleveland State","W",27
"23",2010,"Creighton","L",16
"24",2010,"Creighton","W",23
"25",2010,"Denver","L",17
"26",2010,"Denver","W",13
"27",2010,"Detroit Mercy","L",16
"28",2010,"Detroit Mercy","W",17
"29",2010,"Drake","L",18
"30",2010,"Drake","W",13
"31",2010,"Eastern Michigan","L",22
"32",2010,"Eastern Michigan","W",9
"33",2010,"Evansville","L",16
"34",2010,"Evansville","W",16
"35",2010,"Green Bay","L",18
"36",2010,"Green Bay","W",14
"37",2010,"Illinois","L",14
"38",2010,"Illinois","W",20
"39",2010,"Illinois-Chicago","L",24
"40",2010,"Illinois-Chicago","W",7
"41",2010,"Illinois State","L",19
"42",2010,"Illinois State","W",12
"43",2010,"Indiana","L",20
"44",2010,"Indiana","W",12
"45",2010,"Indiana State","L",14
"46",2010,"Indiana State","W",20
"47",2010,"Iowa","L",20
"48",2010,"Iowa","W",11
"49",2010,"Iowa State","L",16
"50",2010,"Iowa State","W",16
"51",2010,"IUPUI","L",14
"52",2010,"IUPUI","W",19
"53",2010,"Kansas","L",3
"54",2010,"Kansas","W",35
"55",2010,"Kansas State","L",11
"56",2010,"Kansas State","W",23
"57",2010,"Kent State","L",12
"58",2010,"Kent State","W",25
"59",2010,"Loyola (IL)","L",15
"60",2010,"Loyola (IL)","W",16
"61",2010,"Memphis","L",10
"62",2010,"Memphis","W",25
"63",2010,"Miami (OH)","L",17
"64",2010,"Miami (OH)","W",16
"65",2010,"Michigan","L",14
"66",2010,"Michigan","W",21
"67",2010,"Michigan State","L",15
"68",2010,"Michigan State","W",19
"69",2010,"Milwaukee","L",14
"70",2010,"Milwaukee","W",19
"71",2010,"Minnesota","L",14
"72",2010,"Minnesota","W",17
"73",2010,"Missouri","L",11
"74",2010,"Missouri","W",23
"75",2010,"Missouri State","L",9
"76",2010,"Missouri State","W",26
"77",2010,"Murray State","L",9
"78",2010,"Murray State","W",23
"79",2010,"Nebraska","L",13
"80",2010,"Nebraska","W",19
"81",2010,"North Dakota","L",15
"82",2010,"North Dakota","W",19
"83",2010,"North Dakota State","L",15
"84",2010,"North Dakota State","W",14
"85",2010,"Northern Illinois","L",21
"86",2010,"Northern Illinois","W",9
"87",2010,"Northern Iowa","L",14
"88",2010,"Northern Iowa","W",20
"89",2010,"Northwestern","L",14
"90",2010,"Northwestern","W",20
"91",2010,"Notre Dame","L",7
"92",2010,"Notre Dame","W",27
"93",2010,"Ohio","L",16
"94",2010,"Ohio","W",19
"95",2010,"Ohio State","L",3
"96",2010,"Ohio State","W",34
"97",2010,"Oklahoma","L",18
"98",2010,"Oklahoma","W",14
"99",2010,"Oklahoma State","L",14
"100",2010,"Oklahoma State","W",20
"101",2010,"Oral Roberts","L",16
